p  0   0.00000   0.00000   0.00000   0.00000
p  1   0.00000   0.00000   0.00000   0.00000
p  2   0.00000   0.00000   0.00000   0.00000
p  3   0.00000   0.00000   0.00000   0.00000
p  4   0.00000   0.00000   0.00000   0.00000
p  5   0.00000   0.00000   0.00000   0.00000
p  6   0.09066   0.00378   0.08481   0.09932
p  7   0.21911   0.00658   0.20836   0.23402
p  8   0.35357   0.00754   0.34244   0.37176
p  9   0.46931   0.00700   0.46001   0.48627
p 10  89.11079   0.20003  88.72730  89.50332
R  0  0    0.00015   0.00002   0.00012   0.00018
R  0  1    0.00015   0.00002   0.00012   0.00018
R  0  2    0.00018   0.00002   0.00014   0.00021
R  0  3    0.00022   0.00002   0.00018   0.00026
R  0  4    0.00040   0.00002   0.00036   0.00043
R  0  5    0.00030   0.00001   0.00028   0.00032
R  0  6    0.00015   0.00001   0.00013   0.00017
R  0  7    0.00017   0.00001   0.00014   0.00019
R  0  8    0.00021   0.00001   0.00018   0.00023
R  0  9    0.00026   0.00001   0.00024   0.00027
R  0 10    0.00026   0.00001   0.00024   0.00027
R  0 11    0.00395   0.00279   0.00117   0.01112
R  1  0    0.00015   0.00002   0.00012   0.00018
R  1  1    0.00016   0.00002   0.00013   0.00020
R  1  2    0.00019   0.00002   0.00015   0.00022
R  1  3    0.00022   0.00002   0.00018   0.00026
R  1  4    0.00044   0.00002   0.00040   0.00048
R  1  5    0.00033   0.00001   0.00030   0.00036
R  1  6    0.00016   0.00001   0.00014   0.00018
R  1  7    0.00019   0.00001   0.00017   0.00022
R  1  8    0.00024   0.00002   0.00021   0.00027
R  1  9    0.00030   0.00001   0.00028   0.00031
R  1 10    0.00030   0.00001   0.00028   0.00031
R  1 11    0.00424   0.00298   0.00123   0.01187
R  2  0    0.00010   0.00001   0.00008   0.00012
R  2  1    0.00010   0.00001   0.00008   0.00012
R  2  2    0.00012   0.00001   0.00010   0.00014
R  2  3    0.00015   0.00001   0.00012   0.00018
R  2  4    0.00030   0.00001   0.00027   0.00032
R  2  5    0.00022   0.00001   0.00020   0.00023
R  2  6    0.00010   0.00001   0.00009   0.00012
R  2  7    0.00013   0.00001   0.00011   0.00014
R  2  8    0.00017   0.00001   0.00014   0.00019
R  2  9    0.00020   0.00001   0.00019   0.00022
R  2 10    0.00020   0.00001   0.00019   0.00022
R  2 11    0.00460   0.00312   0.00141   0.01309
R  3  0    0.00012   0.00001   0.00009   0.00014
R  3  1    0.00012   0.00001   0.00009   0.00014
R  3  2    0.00014   0.00001   0.00011   0.00016
R  3  3    0.00019   0.00002   0.00016   0.00022
R  3  4    0.00034   0.00002   0.00030   0.00036
R  3  5    0.00025   0.00001   0.00023   0.00028
R  3  6    0.00012   0.00001   0.00010   0.00014
R  3  7    0.00014   0.00001   0.00012   0.00015
R  3  8    0.00018   0.00001   0.00015   0.00020
R  3  9    0.00023   0.00001   0.00022   0.00025
R  3 10    0.00023   0.00001   0.00022   0.00025
R  3 11    0.00465   0.00321   0.00142   0.01329
R  4  0    0.00052   0.00005   0.00042   0.00061
R  4  1    0.00055   0.00005   0.00045   0.00065
R  4  2    0.00070   0.00005   0.00059   0.00081
R  4  3    0.00101   0.00007   0.00088   0.00114
R  4  4    0.00168   0.00007   0.00153   0.00179
R  4  5    0.00127   0.00005   0.00117   0.00136
R  4  6    0.00056   0.00004   0.00049   0.00063
R  4  7    0.00070   0.00004   0.00062   0.00078
R  4  8    0.00083   0.00005   0.00073   0.00093
R  4  9    0.00111   0.00003   0.00106   0.00116
R  4 10    0.00111   0.00003   0.00106   0.00116
R  4 11    0.00477   0.00311   0.00151   0.01316
R  5  0    0.00041   0.00004   0.00034   0.00049
R  5  1    0.00044   0.00004   0.00036   0.00051
R  5  2    0.00050   0.00004   0.00042   0.00057
R  5  3    0.00068   0.00005   0.00058   0.00077
R  5  4    0.00119   0.00005   0.00108   0.00127
R  5  5    0.00096   0.00003   0.00089   0.00103
R  5  6    0.00046   0.00003   0.00040   0.00051
R  5  7    0.00054   0.00003   0.00048   0.00060
R  5  8    0.00067   0.00004   0.00060   0.00074
R  5  9    0.00087   0.00002   0.00083   0.00091
R  5 10    0.00087   0.00002   0.00083   0.00091
R  5 11    0.00405   0.00280   0.00123   0.01128
R  6  0    0.00018   0.00004   0.00010   0.00026
R  6  1    0.00019   0.00004   0.00011   0.00029
R  6  2    0.00022   0.00005   0.00012   0.00032
R  6  3    0.00027   0.00006   0.00015   0.00039
R  6  4    0.00045   0.00006   0.00034   0.00057
R  6  5    0.00032   0.00004   0.00024   0.00040
R  6  6    0.00020   0.00003   0.00015   0.00026
R  6  7    0.00027   0.00003   0.00020   0.00034
R  6  8    0.00036   0.00004   0.00027   0.00045
R  6  9    0.00060   0.00003   0.00055   0.00066
R  6 10    0.00060   0.00003   0.00055   0.00066
R  6 11    0.01247   0.00734   0.00387   0.03122
R  7  0    0.00023   0.00005   0.00014   0.00032
R  7  1    0.00023   0.00005   0.00014   0.00034
R  7  2    0.00023   0.00005   0.00013   0.00033
R  7  3    0.00026   0.00006   0.00014   0.00038
R  7  4    0.00049   0.00006   0.00037   0.00062
R  7  5    0.00035   0.00004   0.00026   0.00043
R  7  6    0.00024   0.00003   0.00018   0.00030
R  7  7    0.00028   0.00004   0.00022   0.00036
R  7  8    0.00042   0.00005   0.00033   0.00052
R  7  9    0.00066   0.00003   0.00060   0.00071
R  7 10    0.00066   0.00003   0.00060   0.00071
R  7 11    0.01192   0.00700   0.00376   0.03005
R  8  0    0.00169   0.00018   0.00135   0.00204
R  8  1    0.00165   0.00017   0.00131   0.00199
R  8  2    0.00179   0.00018   0.00145   0.00215
R  8  3    0.00186   0.00019   0.00148   0.00221
R  8  4    0.00281   0.00017   0.00246   0.00311
R  8  5    0.00120   0.00010   0.00099   0.00140
R  8  6    0.00168   0.00012   0.00145   0.00192
R  8  7    0.00176   0.00012   0.00151   0.00199
R  8  8    0.00212   0.00014   0.00185   0.00242
R  8  9    0.00264   0.00007   0.00251   0.00278
R  8 10    0.00264   0.00007   0.00251   0.00278
R  8 11    0.00411   0.00285   0.00115   0.01165
T  0   0.00000   0.00000   0.00000   0.00000
T  1   0.00000   0.00000   0.00000   0.00000
T  2   0.00000   0.00000   0.00000   0.00000
T  3   0.00000   0.00000   0.00000   0.00000
T  4   0.00000   0.00000   0.00000   0.00000
T  5   0.00000   0.00000   0.00000   0.00000
T  6   8.07873   0.33587   7.55852   8.84775
T  7  19.52524   0.58345  18.58181  20.84618
T  8  31.50717   0.66773  30.53242  33.11906
T  9  41.82064   0.61983  41.03021  43.32685
T 10  89.11079   0.20003  88.72730  89.50332
