Thepa	Ambtr	Aquco	Mimgu	Medtr	Nelnu	Soltu	Solly	Vitvi	Theca	Frave	Carpa	Arath	Glyma	Poptr
1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
1	1	1	1	1	1	0	1	1	0	1	1	1	4	2
1	2	2	1	0	1	0	1	2	1	1	2	1	2	1
4	3	3	3	6	3	8	4	3	3	3	3	4	10	6
1	1	1	2	1	1	1	1	1	1	1	1	1	9	2
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	0	1	0	1	1	1	1	1	1	1	1
1	1	2	1	0	1	2	2	1	1	1	1	1	1	1
1	1	1	0	1	2	0	0	1	1	1	1	1	1	0
1	1	1	1	1	2	1	1	1	1	1	1	2	4	2
1	1	1	1	1	2	2	2	1	1	1	1	1	2	2
1	1	1	1	0	1	1	1	2	1	1	1	1	1	1
2	2	1	3	1	1	5	3	2	1	2	1	3	5	2
1	1	1	1	1	2	1	1	0	1	1	1	1	2	1
1	1	1	1	0	2	0	1	1	1	0	1	1	2	2
1	1	1	0	1	2	1	0	0	1	1	1	1	5	2
0	1	0	1	0	0	1	1	1	0	1	0	0	0	1
1	1	1	1	0	2	2	1	1	1	1	1	1	2	1
2	1	2	2	1	1	3	2	1	1	1	1	2	2	2
0	1	1	1	2	1	0	1	0	1	0	1	1	0	1
3	1	1	1	1	2	2	3	2	2	2	1	3	3	4
1	1	1	2	1	0	4	1	1	1	1	1	1	2	3
1	1	1	1	0	1	1	1	1	1	0	0	1	1	1
1	1	2	0	1	4	1	1	0	1	1	1	1	2	3
1	1	1	2	1	1	5	1	1	1	1	1	1	2	1
1	1	2	3	4	2	6	3	5	2	4	1	1	6	1
1	1	1	1	1	1	2	1	1	1	1	1	1	4	3
0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
3	1	1	1	1	1	3	1	1	1	1	1	1	2	3
1	1	2	1	2	2	4	0	1	2	1	2	1	4	2
1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
1	1	2	1	0	1	1	4	1	2	1	1	1	3	1
1	1	1	1	1	1	2	1	1	1	1	2	1	2	2
0	1	0	0	0	1	0	0	1	1	0	0	0	0	0
0	1	0	0	0	1	0	0	0	1	0	0	0	1	0
1	1	1	1	1	1	2	1	1	1	1	1	1	1	2
2	1	2	1	1	3	3	3	3	2	2	1	3	1	4
1	1	1	1	0	1	0	1	2	1	0	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	2	2
1	1	2	1	2	1	4	1	1	1	1	2	1	1	2
1	1	4	2	2	2	1	1	1	1	1	1	1	2	3
0	1	1	2	1	1	1	1	1	1	1	1	1	2	1
1	1	2	0	1	2	0	0	1	1	1	1	1	2	2
0	1	2	2	0	0	0	2	1	2	2	1	0	1	2
1	1	0	1	0	2	1	2	1	1	1	0	1	2	1
2	1	2	3	2	2	2	2	3	2	2	2	2	9	11
1	1	2	2	1	1	1	1	1	2	2	2	1	5	4
1	1	1	1	1	1	1	0	1	0	2	0	1	1	1
1	1	2	1	1	1	0	1	1	1	1	1	1	2	1
0	2	1	1	0	0	1	1	0	1	1	1	0	1	1
1	1	1	1	1	1	0	1	1	1	1	1	1	2	1
1	1	2	1	1	1	2	1	1	0	1	2	1	1	1
0	1	2	1	1	1	2	2	1	1	2	1	2	3	2
1	2	1	1	3	1	4	1	1	1	2	1	1	4	1
1	1	1	1	0	2	1	1	1	1	1	0	1	2	1
3	1	2	2	0	2	12	10	2	3	4	1	7	2	2
1	1	2	2	1	1	1	2	1	1	1	0	1	2	3
0	1	0	0	0	1	0	0	0	1	0	1	0	1	1
1	1	1	1	1	2	1	1	1	1	2	1	1	4	2
1	1	1	1	1	2	1	1	1	1	1	1	1	5	1
1	1	1	1	0	1	1	1	1	1	1	1	1	2	2
1	1	1	1	2	2	1	1	1	1	1	1	1	3	3
1	1	3	1	1	1	1	1	1	1	1	1	1	3	1
3	1	2	3	0	2	4	2	2	2	2	0	3	6	5
6	1	0	10	0	4	5	4	2	1	2	3	4	3	7
1	1	1	1	2	2	2	1	2	2	2	1	1	2	4
1	1	1	2	1	0	1	1	1	1	1	1	1	2	1
1	1	1	1	1	1	1	1	1	1	1	1	3	1	1
1	1	1	1	0	1	3	2	0	1	1	1	1	1	1
0	1	3	1	0	2	1	1	1	1	1	0	0	1	2
1	1	1	1	0	1	2	2	1	1	1	1	1	1	3
1	1	1	2	2	1	1	1	1	1	1	1	2	2	1
1	1	1	2	2	1	1	1	1	1	1	1	1	0	2
2	1	1	1	0	1	1	1	1	1	1	1	1	2	1
1	1	1	0	2	0	4	1	1	1	1	1	1	4	3
0	1	1	1	1	2	2	2	0	1	1	0	0	5	2
1	1	1	1	1	1	0	1	1	1	1	1	1	2	2
0	1	1	1	1	1	0	0	0	1	1	1	0	2	1
2	1	1	3	1	1	1	1	1	2	2	2	3	5	3
2	1	2	2	1	1	2	2	1	1	2	1	2	6	2
1	1	1	1	1	1	0	1	1	1	1	1	1	2	1
1	1	3	3	1	1	2	1	2	1	1	1	2	4	2
1	1	1	1	0	1	1	1	1	1	1	1	1	2	1
1	1	1	1	0	2	0	1	1	1	1	1	1	2	5
1	1	2	3	1	1	2	2	1	1	1	1	2	3	1
2	1	1	1	1	1	1	1	1	1	1	1	1	2	2
1	1	2	1	1	1	2	1	1	1	1	1	1	4	2
3	1	1	1	3	1	1	2	1	1	1	2	2	2	2
1	1	1	1	1	2	1	1	1	1	1	1	1	2	2
2	1	1	0	4	0	1	3	1	1	0	1	2	0	0
1	1	3	1	0	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	0	1	1	1	1	1	2	5	3
2	1	1	0	0	1	1	1	0	1	0	1	2	0	1
0	1	1	1	0	0	1	1	1	1	0	1	0	4	2
1	1	1	3	1	1	0	1	1	1	1	2	1	1	2
3	1	2	1	3	2	5	4	2	2	1	2	3	6	3
1	1	1	1	2	2	1	1	1	1	1	1	1	4	2
2	1	2	4	3	2	3	3	1	2	2	2	2	5	4
0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
1	1	2	0	1	2	1	1	1	1	1	2	1	2	3
0	4	0	0	0	0	0	0	3	1	1	0	0	0	1
1	1	1	1	1	1	1	1	0	1	1	1	1	2	1
2	1	3	2	1	3	2	1	2	2	2	1	2	4	3
0	1	0	1	1	1	1	1	1	1	1	1	1	2	1
3	1	1	1	0	1	7	3	2	2	1	1	3	5	1
0	1	1	1	0	2	2	1	1	1	1	0	1	3	4
1	1	2	1	1	0	0	1	1	2	1	1	1	1	1
0	1	0	1	2	2	1	1	0	0	1	1	0	0	1
1	1	1	0	1	1	1	0	2	1	0	1	1	1	2
1	1	2	1	1	1	2	1	1	1	1	2	1	4	1
1	1	1	1	3	2	1	1	1	1	1	1	1	3	2
1	1	3	1	2	0	0	1	1	1	1	1	1	5	1
1	1	1	0	2	1	1	1	1	1	1	1	2	1	1
0	1	1	2	1	0	1	1	1	1	1	1	0	0	2
1	1	2	1	2	1	1	1	1	1	1	1	1	2	1
1	1	1	4	0	1	1	1	1	1	1	1	1	2	1
1	1	1	1	1	1	1	1	1	2	2	1	1	0	1
1	1	3	1	3	1	1	1	2	0	0	1	1	2	3
1	1	2	1	1	2	2	2	0	2	1	1	1	2	3
1	1	0	2	0	1	1	1	1	1	1	0	1	2	1
1	1	3	2	1	1	2	2	1	1	1	2	1	2	3
1	1	2	1	1	1	1	1	2	1	1	1	1	2	2
0	1	1	2	1	0	6	3	1	3	3	1	0	2	2
1	1	1	1	0	1	1	1	2	1	1	1	1	1	1
1	1	1	2	1	2	1	1	1	1	1	1	1	3	2
4	3	4	4	2	3	2	3	3	4	4	3	5	9	6
1	1	1	1	0	2	1	1	1	1	1	0	1	2	6
1	1	1	1	0	1	0	1	1	1	1	1	1	3	1
0	3	4	1	4	2	1	2	8	2	3	0	1	2	3
1	1	2	1	0	1	1	1	1	1	1	1	1	1	1
3	1	3	2	1	2	9	3	2	3	3	1	3	2	2
1	1	1	1	1	1	2	1	1	1	1	1	1	2	1
1	1	0	1	1	0	1	1	0	1	1	1	1	2	1
1	1	1	1	1	2	2	2	2	2	1	2	1	1	2
2	1	2	2	3	2	2	3	2	2	3	1	2	4	4
0	1	2	1	0	1	1	1	1	1	2	1	0	1	1
2	1	2	2	3	2	1	1	2	2	1	2	2	1	5
1	1	1	1	1	1	3	2	1	2	2	1	1	3	2
1	1	2	1	0	2	0	1	6	1	1	1	1	3	2
2	1	2	2	2	2	1	1	1	1	1	1	2	7	4
0	1	1	2	1	1	2	2	1	1	1	0	0	4	2
1	1	9	1	0	1	1	2	1	2	1	1	1	1	2
2	1	2	2	1	1	3	1	1	1	1	2	2	7	2
2	1	1	1	1	1	2	2	1	1	1	1	2	4	1
1	1	1	1	2	1	1	1	1	1	1	1	1	2	1
1	1	1	1	1	2	1	1	0	1	1	1	1	5	2
1	1	1	1	1	1	3	1	1	1	1	1	1	1	6
1	1	1	1	1	2	0	1	1	1	2	1	3	2	2
1	1	1	1	0	1	1	1	1	1	1	1	1	2	1
1	1	2	1	0	1	1	1	1	1	1	1	1	2	1
2	1	2	3	2	1	1	1	2	1	0	1	2	2	3
1	1	1	1	0	2	1	1	1	1	1	1	1	2	1
0	1	1	0	1	1	1	1	1	1	1	1	0	4	1
1	1	1	1	1	0	2	1	2	1	1	1	1	1	2
1	1	1	1	0	1	1	1	1	1	1	1	1	2	1
2	1	1	2	0	0	2	1	1	1	2	1	1	4	1
1	1	1	1	1	0	1	1	1	1	1	1	1	4	2
2	1	1	1	2	1	1	1	2	1	1	1	2	3	2
0	1	1	1	0	1	3	2	1	1	1	1	0	2	1
2	1	1	1	1	1	1	1	0	1	1	1	2	2	3
1	1	1	1	0	2	1	1	1	1	1	1	1	2	3
2	1	1	1	2	1	1	1	1	1	1	1	2	2	2
1	2	1	1	1	1	1	1	1	1	1	1	1	5	2
1	2	2	1	2	2	2	2	2	2	1	1	1	5	3
2	1	1	3	0	1	1	1	0	1	1	1	2	4	2
1	2	1	2	1	4	3	3	1	1	1	1	0	4	2
2	1	2	2	1	1	4	1	1	1	1	1	1	7	4
0	1	1	1	1	1	1	1	1	1	1	1	1	7	2
0	2	10	4	14	0	5	3	2	3	6	1	0	0	7
4	3	3	4	1	4	3	4	3	3	2	1	4	4	9
1	1	1	1	2	1	1	1	1	1	1	1	1	4	2
1	1	1	1	1	1	0	1	1	1	1	1	1	4	2
2	2	1	1	6	4	1	2	1	1	1	3	2	4	3
2	2	3	4	2	1	2	3	1	2	1	2	2	8	6
1	1	1	1	1	1	2	1	2	1	1	1	1	2	2
2	1	2	3	0	2	1	2	1	1	1	1	2	4	3
1	1	1	2	1	2	2	2	0	1	1	1	1	5	2
0	1	1	1	0	1	1	1	1	1	1	1	1	4	2
0	1	1	2	2	1	1	1	1	2	1	1	0	3	2
0	1	1	0	1	1	3	1	1	1	1	0	0	0	2
0	1	1	1	0	1	1	1	1	1	3	1	0	0	0
1	1	1	0	0	1	1	1	1	2	1	1	1	2	1
1	1	3	1	1	1	2	1	1	1	1	1	1	4	3
1	1	1	2	0	0	1	1	1	1	1	1	1	1	1
2	1	3	1	1	2	1	1	2	2	2	2	2	2	3
0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
1	1	5	1	2	1	2	1	1	1	1	1	1	1	1
1	2	1	1	0	1	1	1	1	1	1	1	1	1	1
1	2	1	1	1	2	2	1	1	1	1	1	1	1	2
1	1	1	1	2	0	1	1	1	1	1	1	2	2	3
3	2	2	7	6	5	3	3	3	4	5	4	4	2	10
2	1	1	2	1	2	3	3	0	1	1	1	2	3	2
2	1	2	2	1	1	2	1	1	0	1	2	1	2	1
2	2	4	2	1	2	3	2	2	2	2	2	2	9	5
1	1	1	3	2	1	4	2	1	1	2	1	1	3	2
1	1	0	2	0	1	0	0	1	1	0	0	1	0	0
2	1	2	1	0	1	1	1	1	1	1	0	1	2	1
1	1	1	1	1	1	2	1	1	1	1	1	1	3	2
1	1	1	1	1	1	2	1	1	1	1	1	1	3	1
2	1	1	2	0	1	1	1	0	1	1	1	1	2	3
0	2	1	2	3	1	1	1	6	3	2	0	0	3	2
2	1	1	1	2	1	1	1	1	1	1	1	2	2	2
1	1	1	1	1	1	1	1	1	2	1	1	1	2	2
1	1	1	3	1	1	1	1	1	2	2	1	1	4	3
2	2	3	4	2	3	5	4	2	2	2	1	2	8	4
1	1	1	0	0	0	1	1	1	1	1	1	1	1	1
1	1	0	2	1	1	1	1	1	1	1	1	1	2	2
2	1	1	1	1	1	1	1	1	2	1	1	2	1	1
3	1	2	0	3	2	1	4	3	3	3	3	3	8	4
1	1	1	3	1	2	1	1	1	1	1	1	1	3	1
2	1	0	1	1	2	2	2	1	1	1	1	2	3	4
1	1	1	2	1	2	3	1	1	1	1	1	1	4	2
1	1	1	0	1	1	0	0	1	1	1	1	1	2	1
4	1	2	3	2	1	3	3	2	2	0	2	2	5	3
2	1	2	2	2	1	1	2	1	1	1	1	2	3	1
2	7	6	12	3	7	3	3	5	7	4	4	3	13	11
2	1	1	0	1	2	2	1	1	2	2	2	2	4	3
2	1	1	1	1	0	1	1	0	1	1	1	2	3	2
0	1	1	0	1	1	0	1	1	1	1	0	0	4	2
2	1	2	2	2	2	1	1	0	1	1	1	2	2	4
0	1	0	0	0	0	0	1	1	1	0	0	0	0	0
3	2	2	4	3	2	5	5	2	2	1	2	2	4	4
1	1	2	1	1	1	0	3	1	1	1	2	1	1	1
1	1	2	1	2	2	1	0	1	1	1	0	1	3	1
2	1	0	2	0	1	2	2	2	2	2	2	3	4	3
1	1	1	1	0	1	1	1	2	1	1	1	1	4	2
1	2	1	1	1	2	0	1	1	1	1	1	1	5	2
1	1	0	3	0	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	3	1	1	1	1	1	1	4	2
1	1	1	1	1	2	0	1	2	1	1	1	1	1	2
1	1	0	0	0	0	0	0	1	1	1	0	1	3	2
0	1	1	2	2	3	2	1	1	2	1	1	2	4	2
1	1	1	1	1	1	1	1	1	1	1	1	1	1	3
1	1	1	1	2	0	1	1	1	0	1	0	1	4	2
2	1	1	1	0	1	2	1	1	1	0	1	1	3	1
2	1	1	1	1	1	2	2	1	1	1	1	1	1	2
0	1	1	0	2	1	1	1	0	0	1	0	0	1	2
1	1	1	1	1	1	2	1	1	1	1	1	1	2	2
2	1	1	2	0	2	1	1	2	2	2	2	2	0	2
6	5	6	9	3	9	14	8	6	6	7	5	7	18	13
2	1	1	2	0	0	3	2	2	1	1	1	2	2	0
0	17	3	1	2	1	1	1	1	1	1	1	0	1	5
1	2	2	1	2	2	2	2	1	1	1	1	1	1	2
1	1	1	2	0	1	2	2	1	1	1	1	1	0	1
1	1	2	1	0	2	3	1	1	1	1	1	1	1	2
1	1	1	1	0	1	1	1	1	1	1	1	1	2	1
3	2	2	3	0	3	3	3	0	3	2	3	3	6	7
2	1	1	1	1	1	1	1	1	1	1	1	2	3	2
1	1	1	1	2	0	1	1	1	1	1	1	1	2	1
0	1	0	1	0	0	2	2	1	0	0	1	0	5	2
1	2	2	2	2	2	4	2	2	2	2	1	2	9	3
0	1	1	1	2	1	1	1	1	2	1	1	1	3	3
3	1	2	4	0	2	3	3	2	2	1	2	3	2	3
1	1	1	1	0	0	0	1	1	1	0	0	1	0	1
1	1	1	1	2	1	1	1	2	1	1	1	2	4	2
1	1	0	1	0	0	1	1	1	1	1	1	1	2	1
14	4	4	7	4	7	13	6	5	15	6	5	17	16	9
2	1	2	2	1	1	2	2	2	2	2	2	2	4	3
3	1	2	2	1	2	2	2	0	1	1	1	3	2	2
2	1	3	6	1	2	6	6	2	3	7	1	3	11	5
1	1	0	1	1	0	0	0	0	1	1	1	1	1	1
2	1	1	2	1	1	2	1	3	2	1	1	2	2	3
1	1	1	1	1	0	3	1	1	1	1	1	1	2	1
1	3	1	1	1	1	1	1	1	1	1	1	1	3	3
1	1	1	1	1	1	0	1	1	1	1	1	1	2	1
2	1	2	1	1	2	2	2	2	2	2	2	2	12	4
1	1	1	2	1	0	2	2	1	1	1	2	1	2	1
1	1	1	1	1	1	3	1	1	1	1	0	1	2	2
1	1	1	1	0	1	1	1	1	1	1	1	1	2	1
1	1	1	1	0	2	2	1	2	2	1	1	1	1	5
1	1	1	1	1	1	1	1	1	2	1	1	1	3	1
0	1	1	0	2	0	0	0	1	1	1	1	0	1	2
4	2	2	4	2	2	4	5	2	4	3	2	3	11	5
1	1	1	2	2	1	2	1	2	2	1	2	1	3	1
1	1	1	1	1	2	1	1	1	1	1	1	1	4	4
2	1	1	2	1	1	1	1	1	1	1	1	2	2	2
1	1	1	2	1	1	1	1	0	1	1	1	1	2	1
1	1	1	2	1	2	1	1	1	1	1	1	1	3	3
1	1	1	1	0	1	1	1	1	1	1	1	1	0	2
2	1	1	2	2	2	3	2	1	3	2	2	2	7	9
3	1	2	2	2	2	4	3	1	2	3	1	3	5	4
2	1	3	2	1	2	2	2	1	2	2	1	3	4	4
1	1	1	1	0	1	1	1	1	1	2	1	1	2	1
1	1	2	2	0	1	1	1	1	2	1	1	1	1	2
1	1	1	0	1	1	1	1	1	1	0	1	1	4	7
1	1	1	1	0	2	1	1	1	1	1	1	1	4	1
1	1	1	1	1	1	1	1	1	1	1	1	1	4	1
1	1	1	1	0	2	1	1	1	1	1	1	1	4	3
1	1	2	1	1	1	0	1	1	1	1	1	1	1	1
1	1	2	1	1	1	1	1	1	1	2	1	1	1	1
1	1	1	1	0	1	1	1	1	1	1	1	2	3	2
1	1	1	1	1	1	2	1	1	1	1	1	1	2	1
2	2	1	2	0	2	2	2	1	1	1	1	1	3	2
2	1	1	2	2	2	3	3	3	2	1	1	2	2	2
2	1	1	2	1	2	3	1	1	1	1	1	2	5	3
1	1	1	1	1	2	3	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
1	1	1	2	0	1	1	1	1	1	1	1	1	3	1
1	1	1	4	2	1	2	1	1	1	1	1	1	3	1
1	1	1	1	2	0	3	1	1	1	1	1	1	5	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	3
1	1	1	2	1	1	1	2	1	1	1	1	1	3	2
0	1	3	1	1	3	4	2	1	0	1	1	0	2	2
1	2	2	1	1	1	1	1	1	1	1	1	1	2	2
0	4	2	0	5	2	0	0	1	1	0	1	0	3	1
2	1	2	1	1	1	2	2	1	1	1	1	1	7	3
2	2	2	2	3	2	1	2	1	1	1	1	1	2	1
1	2	1	1	1	1	0	1	2	1	1	2	1	3	2
3	1	1	5	2	2	3	2	1	2	2	2	3	7	5
1	2	0	1	1	1	1	1	0	1	3	1	1	1	0
0	1	1	1	1	3	1	1	0	1	1	1	0	3	2
1	1	1	0	0	1	1	1	1	1	1	1	1	1	3
5	1	4	4	1	2	5	5	2	3	3	4	5	9	7
1	1	2	0	2	1	2	2	1	1	1	1	1	5	3
1	1	1	1	0	1	2	1	1	1	3	1	1	4	4
1	1	1	1	0	2	1	1	1	1	2	1	1	3	2
3	2	6	3	3	3	3	2	3	3	3	2	3	10	4
1	1	1	1	1	3	2	1	2	1	2	2	1	4	2
2	2	2	1	5	1	2	1	1	1	1	1	2	2	2
2	1	2	8	2	1	3	3	5	3	2	3	2	5	4
1	1	1	2	0	1	2	0	1	1	3	0	2	1	1
1	1	1	1	0	1	1	1	1	1	1	1	1	3	1
1	1	2	1	1	2	1	1	1	0	0	1	1	7	2
1	1	1	1	0	0	0	1	1	1	1	2	1	6	1
1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
1	1	1	1	1	2	1	1	1	1	1	1	1	2	1
1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
1	1	1	1	0	1	2	1	1	1	1	1	2	1	2
2	1	1	1	2	2	4	2	1	1	1	1	2	4	3
1	1	2	0	2	1	0	2	1	1	1	1	1	1	1
1	1	1	1	1	1	3	1	1	1	1	1	1	3	1
1	1	1	0	2	1	0	0	1	0	1	0	1	2	1
1	1	2	2	1	1	1	1	1	1	1	0	1	2	2
1	1	1	1	1	1	1	1	1	1	0	1	1	2	2
1	1	2	1	0	1	1	1	1	1	0	1	1	7	1
1	1	1	1	0	1	3	1	1	1	1	1	1	2	1
1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
2	1	2	2	1	1	4	2	2	2	3	1	2	8	3
1	1	1	1	1	1	1	1	1	1	0	1	1	2	2
2	2	2	1	1	2	1	1	1	1	1	1	2	6	1
2	1	2	2	1	2	2	2	2	2	1	2	2	4	3
0	1	1	1	2	1	3	1	1	1	1	1	0	1	1
2	1	2	4	4	1	2	2	2	2	3	1	2	7	2
3	2	2	2	2	2	3	2	0	1	0	1	2	5	2
1	1	2	1	2	0	0	1	1	1	1	1	1	3	2
1	1	1	2	2	2	2	2	1	1	0	1	1	4	1
0	3	0	0	0	1	0	0	0	0	0	0	0	0	1
1	1	2	1	0	1	0	1	1	1	1	1	1	1	1
1	1	1	1	2	2	2	3	1	1	1	1	1	5	4
1	1	1	2	1	2	1	1	1	1	1	1	1	5	2
1	1	1	1	1	1	1	1	1	1	1	1	1	2	2
2	1	2	3	1	2	1	1	1	1	1	1	2	0	1
1	1	1	0	1	1	1	1	1	1	1	1	1	0	1
0	1	0	0	0	0	1	1	0	1	0	1	0	0	0
1	1	1	1	1	1	3	1	1	1	0	1	1	3	2
1	3	2	4	1	4	2	3	3	3	2	1	2	6	5
6	3	5	7	6	6	14	6	4	4	4	3	6	10	6
0	1	0	1	0	0	2	1	0	1	0	0	0	0	0
0	1	0	0	0	1	0	0	7	0	0	0	0	0	0
2	1	1	2	2	1	1	1	1	1	0	1	1	3	5
1	1	2	1	1	0	0	1	1	1	1	1	1	2	1
1	1	1	9	0	1	1	1	1	1	1	1	3	2	1
0	1	1	1	1	1	2	0	0	2	1	1	0	3	1
1	1	1	2	0	1	1	1	1	1	0	1	1	3	1
1	1	1	2	0	2	1	1	2	2	0	1	2	1	4
2	1	5	2	6	1	14	15	2	2	0	2	2	14	4
1	1	1	1	0	1	1	1	0	1	1	0	1	2	2
1	1	1	2	0	1	0	1	1	1	1	1	1	2	2
1	1	2	1	0	1	1	1	1	1	1	1	1	1	1
1	1	1	2	1	2	0	2	1	1	0	1	1	3	5
2	1	1	3	1	2	1	1	0	1	1	1	1	2	2
1	1	2	1	1	1	8	4	2	1	2	1	1	3	2
1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
1	1	1	1	2	1	3	1	1	1	1	1	1	5	2
2	1	1	1	1	1	1	1	1	1	1	1	1	1	2
2	1	1	1	2	1	1	1	1	1	1	1	2	3	2
2	1	2	1	1	1	1	1	0	1	1	0	2	4	2
1	1	1	0	0	1	4	1	1	1	1	1	1	4	0
1	1	1	3	1	1	4	1	1	1	1	1	1	2	1
1	1	1	2	2	2	2	2	2	2	1	1	1	2	3
1	1	1	1	1	1	0	1	1	1	1	1	1	2	2
1	1	1	1	0	1	1	1	1	1	1	1	1	3	2
1	14	0	1	0	0	2	1	2	1	2	1	1	5	3
1	1	1	1	2	1	3	2	0	1	0	0	0	2	1
2	1	1	1	2	2	1	1	1	1	1	1	2	4	1
1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
13	7	11	11	10	10	15	12	9	8	8	6	11	26	16
3	1	1	3	1	2	1	1	0	1	1	1	3	2	1
1	2	1	1	2	2	1	1	1	1	1	1	1	5	2
1	1	3	1	2	2	1	1	1	1	1	1	1	4	1
1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
2	1	1	3	2	1	2	3	1	2	2	2	1	3	5
1	1	2	1	1	1	2	1	1	1	1	1	1	3	1
1	1	1	1	4	2	1	1	1	1	1	3	1	1	2
1	1	2	1	1	1	3	2	1	1	1	1	1	2	2
2	1	1	1	1	1	2	1	2	1	1	1	2	3	1
1	1	1	1	1	1	1	1	0	1	1	1	1	2	3
0	1	1	1	1	0	1	1	1	1	0	1	1	1	1
1	1	1	3	0	2	1	1	1	2	1	1	2	2	2
1	4	15	4	13	2	8	4	4	5	7	1	4	19	9
0	1	1	0	1	1	1	1	1	1	1	1	0	4	1
1	1	1	2	1	1	1	1	1	1	2	1	1	2	2
2	1	1	2	1	1	2	2	2	1	1	0	2	1	1
2	1	3	2	2	1	2	2	1	2	2	1	2	9	2
1	1	1	0	0	1	1	1	1	1	0	1	1	2	1
2	1	4	4	0	1	1	1	1	1	0	1	2	2	1
0	1	2	1	0	0	1	1	1	1	1	1	0	1	1
1	1	1	1	0	0	1	0	1	1	0	0	1	0	1
1	1	1	1	1	1	1	1	1	1	1	1	1	3	2
1	1	5	1	2	0	1	1	1	1	1	2	2	4	1
0	1	0	1	1	1	0	1	1	1	0	1	0	0	1
2	2	1	1	1	2	1	1	1	1	1	1	1	2	2
1	3	1	0	1	2	1	1	2	1	1	1	1	7	3
1	2	3	1	2	1	3	1	0	2	2	2	2	3	3
1	1	3	3	0	1	3	2	2	1	1	1	1	2	2
1	1	1	1	0	1	1	1	1	1	1	1	1	2	2
3	1	1	1	1	1	1	1	1	1	1	1	3	2	1
2	1	2	4	2	2	3	3	2	2	3	2	3	3	2
1	1	0	1	0	2	1	1	1	1	1	1	1	1	2
1	1	2	1	0	1	1	1	1	1	1	1	1	2	1
1	1	1	2	1	2	2	1	1	1	1	1	1	2	2
1	1	2	2	1	1	0	1	1	1	1	1	1	1	1
1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	2	1	1	1	2	0	1	1	1
1	1	1	1	0	1	2	1	1	1	0	1	1	2	1
1	1	1	1	1	1	1	1	0	1	1	0	1	2	3
1	1	1	1	1	1	2	1	1	1	1	1	1	2	1
0	1	1	1	1	2	2	1	1	1	1	0	0	2	1
1	1	1	1	1	1	1	1	1	1	1	1	1	5	2
2	1	1	2	1	0	2	2	2	2	1	1	2	4	4
0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
2	1	2	1	0	2	3	2	1	2	1	1	2	5	4
1	1	1	1	1	1	1	1	1	1	0	1	1	0	1
1	1	1	3	2	1	2	1	0	1	1	1	1	2	1
3	2	3	2	3	2	2	2	2	2	2	2	2	4	3
1	1	2	1	2	2	1	1	1	1	1	0	1	5	2
1	2	19	12	1	0	5	2	0	2	1	1	1	6	4
1	1	1	1	0	1	1	1	1	1	1	1	1	3	1
1	1	1	1	1	3	1	1	1	1	1	1	1	0	2
1	1	2	1	1	1	1	1	1	1	1	1	1	3	1
1	1	1	1	2	0	0	1	1	1	1	1	1	1	1
0	1	3	1	2	1	2	1	1	1	1	1	0	4	2
1	1	2	1	0	0	0	1	1	1	1	1	1	2	1
1	2	3	2	2	1	2	2	2	2	2	2	1	4	1
1	1	1	1	0	2	1	1	1	1	1	1	1	1	2
1	1	1	1	2	0	1	1	1	1	1	1	1	3	4
1	2	1	1	1	1	1	1	1	1	1	0	1	1	1
1	1	1	1	1	2	3	2	1	1	1	1	1	2	2
1	1	1	1	1	1	0	0	1	1	1	1	1	1	1
1	1	1	1	0	1	2	2	1	1	1	1	1	1	1
1	1	1	1	0	1	1	1	1	1	0	1	1	2	1
0	1	0	1	0	0	0	0	0	0	0	1	0	2	0
1	1	1	1	0	1	3	1	1	1	1	1	2	2	1
1	1	1	1	2	3	1	1	1	1	1	0	1	2	1
3	1	1	1	1	2	1	1	1	1	1	1	3	4	2
2	2	2	3	1	1	4	4	1	2	1	2	2	7	3
1	1	2	0	1	3	1	1	1	1	1	1	1	5	2
0	1	0	0	0	0	1	0	0	0	6	0	0	2	0
1	1	1	3	2	1	3	3	1	2	1	2	2	2	4
1	1	1	1	1	1	3	1	1	1	1	1	1	2	2
1	1	1	1	2	1	0	1	1	1	1	1	1	2	2
1	1	2	1	1	1	2	1	1	2	1	2	1	1	1
2	1	2	1	2	2	1	1	1	2	1	0	2	2	2
