Thepa	Ambtr	Aquco	Mimgu	Medtr	Nelnu	Soltu	Solly	Vitvi	Theca	Frave	Carpa	Arath	Glyma	Poptr
0	1	1	1	2	1	1	1	1	1	1	1	0	3	1
3	1	4	3	4	2	4	3	2	5	3	4	3	7	3
1	1	2	1	1	1	1	1	1	1	1	1	1	2	1
1	1	1	1	1	1	2	1	1	1	1	0	1	6	2
9	4	5	8	7	7	8	9	5	5	4	3	9	23	10
1	1	1	1	1	1	0	1	1	2	1	1	1	2	1
0	1	1	0	0	1	1	1	1	0	1	0	0	0	1
1	1	1	1	0	1	1	1	1	1	1	1	1	3	2
3	2	1	3	2	3	5	5	3	3	2	3	3	12	4
1	5	3	1	2	2	3	1	1	1	1	1	1	2	3
1	2	3	4	0	2	0	2	2	1	1	1	1	1	2
2	1	1	2	1	1	2	2	1	2	1	1	2	5	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	1	1	1	1	1	1	1	0	1	6	1	1	0	3
1	1	3	1	1	1	0	1	1	1	2	1	2	4	2
1	1	1	0	0	2	1	1	1	1	1	1	1	1	1
1	1	2	1	0	1	2	2	1	1	0	1	2	2	1
1	1	3	1	1	2	2	1	1	1	2	1	1	2	1
1	1	1	3	1	0	1	1	1	1	1	1	1	1	1
1	1	2	0	1	1	3	1	1	1	2	1	1	2	1
2	1	1	0	2	2	1	1	2	1	1	1	2	5	4
1	1	1	1	0	1	1	2	1	1	1	1	1	1	1
0	1	1	0	0	2	0	0	2	1	1	1	0	2	2
1	1	1	1	1	1	1	1	1	1	2	1	1	3	3
2	1	1	1	1	2	1	1	1	1	1	1	1	3	2
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
0	3	0	0	0	0	0	0	0	0	1	0	0	0	0
1	1	1	1	1	2	2	1	1	1	1	0	1	1	3
2	1	1	0	1	2	2	1	0	1	1	1	2	2	2
1	1	0	2	1	1	2	1	1	1	1	1	1	3	3
2	4	10	8	14	7	6	3	1	13	7	3	2	8	9
1	1	1	2	1	1	1	1	1	1	2	1	1	2	1
1	1	1	2	3	2	2	2	1	1	1	2	3	4	4
1	1	1	3	0	1	1	1	1	1	1	1	1	2	1
2	1	1	2	1	2	1	1	1	1	1	1	1	1	2
1	1	0	2	0	1	0	1	1	1	1	1	1	1	2
1	1	1	0	0	1	2	2	0	1	1	2	1	2	2
1	1	1	1	1	2	2	2	1	1	1	1	2	3	2
0	1	1	0	1	2	1	1	1	1	1	0	0	2	2
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4	1	4	1	1	1	1	1	2	3	1	1	1	4	3
3	1	1	1	2	2	1	1	1	1	1	2	1	2	1
1	1	1	1	0	1	1	1	1	1	1	1	1	2	2
0	1	1	0	1	1	1	1	1	1	1	1	0	3	2
1	1	1	1	1	1	2	1	1	1	1	1	1	2	3
1	1	1	0	1	1	0	1	1	1	0	1	1	1	1
2	1	1	3	2	3	2	1	1	2	2	2	3	4	4
4	1	3	4	2	3	9	4	4	3	3	2	4	10	5
2	1	1	2	2	1	1	1	2	2	1	1	1	6	2
0	1	2	1	0	2	1	1	1	2	2	1	0	1	3
2	1	2	2	5	1	7	2	2	2	2	2	2	3	3
1	1	1	1	0	1	1	1	1	1	1	0	1	3	2
1	1	1	1	1	0	0	1	1	1	2	1	1	2	1
1	1	2	1	0	1	2	1	1	1	1	1	1	1	3
2	1	1	1	1	2	2	1	1	1	1	1	1	3	2
2	3	4	2	1	2	3	3	2	2	2	1	3	5	7
1	1	1	2	1	2	1	1	1	2	1	1	1	2	1
1	1	1	0	1	2	0	0	1	1	0	1	1	5	1
1	1	2	1	2	1	1	1	1	2	1	1	1	3	1
2	2	2	2	3	4	4	2	2	2	2	2	2	8	4
1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
1	1	2	1	1	1	0	1	1	1	1	1	1	2	1
1	1	1	2	1	1	2	2	3	2	1	1	1	3	2
0	1	1	1	1	1	1	0	1	1	1	1	1	1	1
1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
5	1	1	3	1	2	5	3	3	2	4	2	5	6	3
1	1	1	1	0	2	0	1	1	1	1	1	1	2	2
4	4	7	9	9	10	8	8	11	6	9	4	4	22	14
1	1	1	1	0	1	1	1	1	1	1	1	1	3	1
2	1	1	2	2	2	2	2	1	1	1	1	2	4	2
1	1	1	1	2	1	1	1	0	1	1	1	1	1	1
1	1	1	1	2	1	1	1	1	0	0	1	1	2	3
0	1	0	2	0	0	1	1	0	1	0	0	0	0	1
1	1	1	2	1	2	1	1	0	1	0	0	1	1	2
1	1	1	1	0	1	1	1	0	1	0	1	1	1	1
1	1	1	1	1	1	0	2	1	1	1	1	1	2	1
2	1	1	2	0	1	1	1	2	2	1	1	2	2	2
1	1	1	1	0	1	1	1	1	1	1	1	5	1	1
1	1	0	0	0	0	0	0	1	1	1	0	1	3	2
1	1	1	1	1	1	1	1	0	1	1	1	1	2	1
3	1	6	3	1	2	4	3	1	1	1	3	3	3	1
1	1	1	0	2	1	1	1	1	1	0	1	1	2	1
0	1	1	2	2	2	1	1	1	1	1	1	1	2	1
2	2	1	1	2	2	2	5	3	2	2	2	4	3	5
1	1	1	1	1	0	1	1	1	1	1	1	1	2	1
0	1	1	1	0	0	1	1	0	1	0	1	0	0	0
1	2	1	1	1	2	1	1	1	1	1	1	2	4	2
1	1	1	1	1	1	0	1	1	1	1	2	1	2	1
3	1	1	1	3	1	2	2	1	2	2	2	3	5	2
