-0.7223441	28	1
-0.690746	28	2
-0.6910091	28	3
-0.6972934	28	4
-0.6705296	28	5
-0.6949104	28	6
-0.6978541	28	7
-0.6978541	28	8
-0.6568289	28	9
-0.6962686	28	10
-0.6568289	28	11
-0.7261636	28	12
-0.7015543	28	13
-0.6815582	28	14
-0.6815582	28	15
-0.7188416	28	16
-0.7467713	28	17
-0.7203623	28	18
-0.7261636	28	19
-0.6871617	28	20
-0.7043691	28	21
-0.6581643	28	22
-0.7015543	28	23
-0.690746	28	24
-0.6815582	28	25
-0.6688087	28	26
-0.6400692	28	27
-0.7107109	28	28
-0.6688087	28	29
-0.6705296	28	30
-0.7043691	28	31
-0.7373676	28	32
-0.6815582	28	33
-0.6635306	28	34
-0.7373676	28	35
-0.7441298	28	36
-0.70465	28	37
-0.7145835	28	38
-0.7188416	28	39
-0.6949104	28	40
-0.7373676	28	41
-0.690746	28	42
-0.6815582	28	43
-0.6815582	28	44
-0.6581643	28	45
-0.6966245	28	46
-0.6862041	28	47
-0.6966245	28	48
-0.7373676	28	49
-0.6962686	28	50
-0.6815582	28	51
-0.6718435	28	52
-0.7015543	28	53
-0.6978541	28	54
-0.6949104	28	55
-0.7188416	28	56
-0.7261636	28	57
-0.659227	28	58
-0.6910091	28	59
-0.7203623	28	60
-0.6972934	28	61
-0.7098783	28	62
-0.6797336	28	63
-0.736869	28	64
-0.6581643	28	65
-0.6752002	28	66
-0.6400692	28	67
-0.6972934	28	68
-0.7072649	28	69
-0.6949104	28	70
-0.6635306	28	71
-0.7188416	28	72
-0.6400692	28	73
-0.6400692	28	74
-0.6718435	28	75
-0.7043691	28	76
-0.7344874	28	77
-0.6718435	28	78
-0.6953991	28	79
-0.7107109	28	80
-0.6910091	28	81
-0.6966245	28	82
-0.70465	28	83
-0.6581643	28	84
-0.6518954	28	85
-0.7043691	28	86
-0.7091687	28	87
-0.6862041	28	88
-0.7069648	28	89
-0.7188416	28	90
-0.7171958	28	91
-0.7132817	28	92
-0.6400692	28	93
-0.6972934	28	94
-0.6862041	28	95
-0.7280347	28	96
-0.70465	28	97
-0.6797336	28	98
-0.7058218	28	99
-0.7043691	28	100
